State,District,Block,Date,Rainfall
Haryana,Sirsa,Sirsa,1985-01-01,0.0
Haryana,Sirsa,Sirsa,1985-01-02,0.0
Haryana,Sirsa,Sirsa,1985-01-03,0.0
Haryana,Sirsa,Sirsa,1985-01-04,0.0
Haryana,Sirsa,Sirsa,1985-01-05,0.0
Haryana,Sirsa,Sirsa,1985-01-06,0.0
Haryana,Sirsa,Sirsa,1985-01-07,0.0
Haryana,Sirsa,Sirsa,1985-01-08,0.0
Haryana,Sirsa,Sirsa,1985-01-09,0.0
Haryana,Sirsa,Sirsa,1985-01-10,0.0
Haryana,Sirsa,Sirsa,1985-01-11,0.0
Haryana,Sirsa,Sirsa,1985-01-12,0.0
Haryana,Sirsa,Sirsa,1985-01-13,0.0
Haryana,Sirsa,Sirsa,1985-01-14,0.0
Haryana,Sirsa,Sirsa,1985-01-15,0.0
Haryana,Sirsa,Sirsa,1985-01-16,0.0
Haryana,Sirsa,Sirsa,1985-01-17,0.0
Haryana,Sirsa,Sirsa,1985-01-18,0.0
Haryana,Sirsa,Sirsa,1985-01-19,0.0
Haryana,Sirsa,Sirsa,1985-01-20,0.0
Haryana,Sirsa,Sirsa,1985-01-21,0.0
Haryana,Sirsa,Sirsa,1985-01-22,0.0
Haryana,Sirsa,Sirsa,1985-01-23,0.0
Haryana,Sirsa,Sirsa,1985-01-24,0.0
Haryana,Sirsa,Sirsa,1985-01-25,0.0
Haryana,Sirsa,Sirsa,1985-01-26,0.0
Haryana,Sirsa,Sirsa,1985-01-27,0.0
Haryana,Sirsa,Sirsa,1985-01-28,0.0
Haryana,Sirsa,Sirsa,1985-01-29,0.0
Haryana,Sirsa,Sirsa,1985-01-30,0.0
Haryana,Sirsa,Sirsa,1985-01-31,0.0
Haryana,Sirsa,Sirsa,1985-02-01,0.0
Haryana,Sirsa,Sirsa,1985-02-02,0.0
Haryana,Sirsa,Sirsa,1985-02-03,0.0
Haryana,Sirsa,Sirsa,1985-02-04,0.0
Haryana,Sirsa,Sirsa,1985-02-05,0.0
Haryana,Sirsa,Sirsa,1985-02-06,0.0
Haryana,Sirsa,Sirsa,1985-02-07,0.0
Haryana,Sirsa,Sirsa,1985-02-08,0.0
Haryana,Sirsa,Sirsa,1985-02-09,0.0
Haryana,Sirsa,Sirsa,1985-02-10,0.0
Haryana,Sirsa,Sirsa,1985-02-11,0.0
Haryana,Sirsa,Sirsa,1985-02-12,0.0
Haryana,Sirsa,Sirsa,1985-02-13,0.0
Haryana,Sirsa,Sirsa,1985-02-14,0.0
Haryana,Sirsa,Sirsa,1985-02-15,0.0
Haryana,Sirsa,Sirsa,1985-02-16,0.0
Haryana,Sirsa,Sirsa,1985-02-17,0.0
Haryana,Sirsa,Sirsa,1985-02-18,0.0
Haryana,Sirsa,Sirsa,1985-02-19,0.0
Haryana,Sirsa,Sirsa,1985-02-20,0.0
Haryana,Sirsa,Sirsa,1985-02-21,0.0
Haryana,Sirsa,Sirsa,1985-02-22,0.0
Haryana,Sirsa,Sirsa,1985-02-23,0.0
Haryana,Sirsa,Sirsa,1985-02-24,0.0
Haryana,Sirsa,Sirsa,1985-02-25,0.0
Haryana,Sirsa,Sirsa,1985-02-26,0.0
Haryana,Sirsa,Sirsa,1985-02-27,0.0
Haryana,Sirsa,Sirsa,1985-02-28,0.0
Haryana,Sirsa,Sirsa,1985-03-01,0.0
Haryana,Sirsa,Sirsa,1985-03-02,0.0
Haryana,Sirsa,Sirsa,1985-03-03,0.0
Haryana,Sirsa,Sirsa,1985-03-04,0.0
Haryana,Sirsa,Sirsa,1985-03-05,0.0
Haryana,Sirsa,Sirsa,1985-03-06,0.0
Haryana,Sirsa,Sirsa,1985-03-07,0.0
Haryana,Sirsa,Sirsa,1985-03-08,0.0
Haryana,Sirsa,Sirsa,1985-03-09,0.0
Haryana,Sirsa,Sirsa,1985-03-10,0.0
Haryana,Sirsa,Sirsa,1985-03-11,0.0
Haryana,Sirsa,Sirsa,1985-03-12,0.0
Haryana,Sirsa,Sirsa,1985-03-13,0.0
Haryana,Sirsa,Sirsa,1985-03-14,0.0
Haryana,Sirsa,Sirsa,1985-03-15,0.0
Haryana,Sirsa,Sirsa,1985-03-16,0.0
Haryana,Sirsa,Sirsa,1985-03-17,0.0
Haryana,Sirsa,Sirsa,1985-03-18,0.0
Haryana,Sirsa,Sirsa,1985-03-19,0.0
Haryana,Sirsa,Sirsa,1985-03-20,0.0
Haryana,Sirsa,Sirsa,1985-03-21,0.0
Haryana,Sirsa,Sirsa,1985-03-22,0.0
Haryana,Sirsa,Sirsa,1985-03-23,0.0
Haryana,Sirsa,Sirsa,1985-03-24,0.0
Haryana,Sirsa,Sirsa,1985-03-25,0.0
